"BirdID","Disperse","Inherit","DispersalDate","DispersalMonth2","NatalTerritory","DisperseTerritoryID","DisperseStatus","NatalStatus","DisperseStatus2","Age_at_disp1","Age_at_disp2","BirthDate1","BirthDate2","Reached_min_age_1","Reached_min_age_2","DispersalYear","BirthYear1","BirthYear2","PopDensity.all","PopDensity.old","GroupSize.all","GroupSize.old","NoTranslocationEvents","TranslocationYN","Distance","NatalTerritorySize","DisperseTerritorySize","InsectAbundance","InsectDensity","SexEstimate","Novel.environment.score","StndBody.mass","BodyMass","Weather","Observer","TentColour","ExplorationBranchOrientation","ReleaseMethod","Time.between.tests","Social.status","TentPoles","BranchHeight","Days.into.season","Testno","Ageclass","Age","Age2","Age_sq","Season"
5163,1,NA,"2008-05-01","S",36,30,"BrF","ABX",1,345.958333333333,345.958333333333,"2007-05-21","2007-05-21",NA,NA,2008,2007,2007,357,326,4,4,NA,"N",131.240237732183,1365,1281,981.912924396,2.75125573,0,0,-0.35808309,14.69999981,"S","SP","B","D","H",0,"Primary",0,0,77,1,"A",0.071110487,-0.098664056,1401856,77.1
5173,0,1,NA,NA,129,NA,NA,NA,NA,NA,NA,"2007-06-03","2007-06-03",1,1,NA,2007,2007,304,288,4,4,1,"Y",NA,NA,NA,1136.736848003,3.127143292,0,36,-0.441702324,13.69999981,"P","HE","B","P","P",135,"Primary",0,0,31,2,"A",0.648767759,0.439760059,5929225,31.2
5173,0,1,NA,NA,129,NA,NA,NA,NA,NA,NA,"2007-06-03","2007-06-03",1,1,NA,2007,2007,304,288,4,4,1,"Y",NA,NA,NA,1136.736848003,3.127143292,0,0,-0.533702722,15.39999962,"C","MB","G","P","P",367,"Non-primary",0,0,110,1,"A",0.586430643,0.363739272,5290000,110.1
5197,1,NA,"2009-07-02","S",20,172,"BrM","OFL",1,412.958333333333,412.958333333333,"2008-05-15","2008-05-15",NA,NA,2009,2008,2008,347,294,5,3,NA,"N",154.738489071078,2583,1279,1174.006612919,4.308373733,1,31,0.502661922,16.79999924,"P","SP","B","D","H",0,"Primary",0,0,76,1,"A",-0.095583577,-0.184829511,677329,76.1
5217,1,NA,"2009-04-20","W",125,159,"ABX","ABX",2,329.958333333333,329.958333333333,"2008-05-25","2008-05-25",NA,NA,2009,2008,2008,330,304,5,5,NA,"N",184.271538768199,2706,1563,981.912924396,2.75125573,0,9,0.265276183,15.80000019,"S","LMG","G","P","P",0,"Non-primary",0,0,96,1,"A",0.415119014,0.177148481,3721041,96.1
5217,1,NA,"2009-04-20","W",125,159,"ABX","ABX",2,329.958333333333,329.958333333333,"2008-05-25","2008-05-25",NA,NA,2009,2008,2008,330,304,5,5,NA,"N",184.271538768199,2706,1563,981.912924396,2.75125573,0,38,0.035275189,15.89999962,"S","MB","G","D","P",518,"Non-primary",0,0,35,2,"A",0.654308836,0.446727248,5987809,35.2
5235,1,NA,"2010-02-07","W",68,42,"BrM","H",1,617,617,"2008-05-31","2008-05-31",NA,NA,2010,2008,2008,347,294,6,5,NA,"N",107.354552767919,1136,2351,1174.006612919,4.308373733,1,34,0.000901528,15,"P","HE","G","P","P",317,"Primary",0,0,61,3,"A",0.396187001,0.158536842,3564544,61.1
5235,1,NA,"2010-02-07","W",68,42,"BrM","H",1,617,617,"2008-05-31","2008-05-31",NA,NA,2010,2008,2008,347,294,6,5,NA,"N",107.354552767919,1136,2351,1174.006612919,4.308373733,1,7,-0.137099068,15.5,"S","SAK","B","D","P",5,"Primary",0,0,15,2,"A",0.206405116,-0.005940281,2181529,15.1
5235,1,NA,"2010-02-07","W",68,42,"BrM","H",1,617,617,"2008-05-31","2008-05-31",NA,NA,2010,2008,2008,347,294,6,5,NA,"N",107.354552767919,1136,2351,1174.006612919,4.308373733,1,16,-0.183099267,15.69999981,"S","SAK","B","D","P",0,"Primary",0,0,10,1,"A",0.204096334,-0.007693852,2166784,10.1
5237,1,NA,"2010-02-07","W",48,50,"BrM","H",1,616,616,"2008-06-01","2008-06-01",NA,NA,2010,2008,2008,347,294,5,4,NA,"N",40.2616442783948,1333,1613,1174.006612919,4.308373733,1,7,0.265771578,16.20000076,"R","SAK","B","D","P",707,"Primary",0,0,28,2,"A",0.211946193,-0.00170745,2217121,28.1
